SYMBOL,SECTOR,holidays
CCHHL-EQ,Full Market / Other,
CEIGALL-EQ,Full Market / Other,
CEINSYS-EQ,Full Market / Other,
CELEBRITY-EQ,Full Market / Other,
CELLO-EQ,Full Market / Other,
CENTENKA-EQ,Full Market / Other,
CENTEXT-EQ,Full Market / Other,
CENTRUM-EQ,Full Market / Other,
CENTUM-EQ,Full Market / Other,
CENTURYPLY-EQ,Full Market / Other,
CERA-EQ,Full Market / Other,
CEWATER-EQ,Full Market / Other,
CHEMCON-EQ,Full Market / Other,
CHEMPLASTS-EQ,Full Market / Other,
CHEVIOT-EQ,Full Market / Other,
CIFL-EQ,Full Market / Other,
CINELINE-EQ,Full Market / Other,
CINEVISTA-EQ,Full Market / Other,
CLEANMAX-EQ,Full Market / Other,
CLSEL-EQ,Full Market / Other,
CMPDI-EQ,Full Market / Other,
CMSINFO-EQ,Full Market / Other,
CNL-EQ,Full Market / Other,
COASTCORP-EQ,Full Market / Other,
COCKERILL-EQ,Full Market / Other,
COFFEEDAY-EQ,Full Market / Other,
COMFINTE-EQ,Full Market / Other,
COMPUSOFT-EQ,Full Market / Other,
COMSYN-EQ,Full Market / Other,
CONFIPET-EQ,Full Market / Other,
CONSOFINVT-EQ,Full Market / Other,
CONTROLPR-EQ,Full Market / Other,
CORALFINAC-EQ,Full Market / Other,
CORDSCABLE-EQ,Full Market / Other,
CORONA-EQ,Full Market / Other,
COSMOFIRST-EQ,Full Market / Other,
COUNCODOS-EQ,Full Market / Other,
CPEDU-EQ,Full Market / Other,
CRAMC-EQ,Full Market / Other,
CREATIVEYE-EQ,Full Market / Other,
CREST-EQ,Full Market / Other,
CRIZAC-EQ,Full Market / Other,
CROWN-EQ,Full Market / Other,
CSBBANK-EQ,Full Market / Other,
CSLFINANCE-EQ,Full Market / Other,
CTE-EQ,Full Market / Other,
CUBEXTUB-EQ,Full Market / Other,
CUPID-EQ,Full Market / Other,
CYBERTECH-EQ,Full Market / Other,
CYIENTDLM-EQ,Full Market / Other,
DAICHI-EQ,Full Market / Other,
DALMIASUG-EQ,Full Market / Other,
DAMCAPITAL-EQ,Full Market / Other,
DAMODARIND-EQ,Full Market / Other,
DANGEE-EQ,Full Market / Other,
DATAMATICS-EQ,Full Market / Other,
DAVANGERE-EQ,Full Market / Other,
DBCORP-EQ,Full Market / Other,
DBEIL-EQ,Full Market / Other,
DBL-EQ,Full Market / Other,
DBSTOCKBRO-EQ,Full Market / Other,
DCAL-EQ,Full Market / Other,
DCBBANK-EQ,Full Market / Other,
DCM-EQ,Full Market / Other,
DCMSRIND-EQ,Full Market / Other,
DCW-EQ,Full Market / Other,
DCXINDIA-EQ,Full Market / Other,
DDEVPLSTIK-EQ,Full Market / Other,
