date,symb,clos,stge,wrsi,ws30,volu,DlPer,rvol,vspk,ascr,arnk,chan,g200,zone,rsi,delt,bbup,vtrd,bbbw,bbsq,g050,g020,adx,open,bbdn,shgh,slw,high,low,eqb,s020,s050,s100,s200,h52h,l52l,vrnk,rrnk,tren,tstr,vola,mpat,pcon,psta,pend,ppnt,xpat,patt,obv,sect
2025-08-26,VIKASECO,2.1,Stage 4 (Downtrend),34.59,2.38,2709665,61.4,0.93,False,0.57,540.0,-2.33,False,Discount,34.85,48.4,False,Decreasing,0.1055,False,False,False,21.8,2.15,False,4.07,2.08,2.15,2.1,3.08,2.19,2.34,2.36,2.66,4.07,2.07,32.0,263.0,Sideways,Moderate,26.08,No Clear Pattern,0,,,,,No Clear Pattern,-37078436,Chemicals
2025-08-26,OMAXE,87.92,Stage 1/3 (Neutral),45.79,87.15,64971,54.27,0.41,False,0.57,540.0,-1.57,False,Near Discount,32.21,35.31,False,Decreasing,0.1301,False,False,False,24.07,89.32,False,162.31,70.27,89.49,87.25,116.29,93.89,99.0,90.88,93.15,135.9,68.91,404.0,646.0,Sideways,Moderate,31.92,Flag Pattern (Bear Flag),64,17-12-2024,28-01-2025,PoleS:17-12-2024@117.9 ; PoleE:08-01-2025@98.83 ; Consol:28-01-2025@95.53,,Flag Pattern (Bear Flag)(64),24745578,Real Estate Operations
2025-08-26,CHEMCON,215.41,Stage 2 (Uptrend),51.75,200.65,26547,56.33,0.13,False,0.57,540.0,-2.55,True,Near Discount,43.6,27.79,False,Decreasing,0.1271,False,True,False,30.55,221.05,False,289.85,165.65,224.95,213.0,227.75,228.02,213.11,204.29,209.96,298.3,160.0,563.0,836.0,Uptrend,Strong,51.02,Cup and Handle,79,14-05-2025,26-08-2025,RimL:14-05-2025@218.98 ; Btm:19-06-2025@189.12 ; RimR:18-07-2025@232.07 ; Hdl:26-08-2025@215.41,Broadening Formation(68),Cup and Handle(79) | Broadening Formation(68),4840336,Chemicals
2025-08-26,SAKAR,331.95,Stage 2 (Uptrend),54.58,298.05,16869,,1.94,False,0.56,544.0,-1.5,True,Near Premium,46.94,12.83,False,Increasing,0.104,False,False,False,19.5,337.0,False,369.0,211.72,337.0,331.0,290.36,333.24,345.55,320.31,300.07,380.8,210.1,625.0,79.0,Sideways,Moderate,24.19,Double Top,90,27-06-2025,25-07-2025,P1:27-06-2025@362.25 ; P2:25-07-2025@362.65,Rounding Top(83) | Diamond Bottom(80),Double Top(90) | Rounding Top(83) | Diamond Bottom(80),-128591,Pharmaceuticals
2025-08-26,SRHHYPOLTD,588.5,Stage 1/3 (Neutral),46.96,580.11,9485,63.27,0.61,False,0.56,544.0,-2.18,False,Near Discount,35.34,37.53,False,Decreasing,0.1022,False,False,False,23.7,601.6,False,898.5,455.25,601.6,585.0,676.88,616.11,637.3,596.18,626.42,942.0,464.3,695.0,459.0,Sideways,Moderate,31.93,Symmetrical Triangle,74,13-06-2025,08-08-2025,H1:13-06-2025@670.5 ; H2:18-07-2025@687.7 ; L1:20-06-2025@613.95 ; L2:08-08-2025@591.8,,Symmetrical Triangle(74),4869788,Chemicals
2025-08-26,MATRIMONY,505.9,Stage 4 (Downtrend),42.48,518.43,11035,53.65,0.45,False,0.56,544.0,-0.98,False,Near Discount,41.72,40.48,False,Decreasing,0.1017,False,False,False,35.96,510.9,False,844.15,489.5,514.4,500.25,666.82,521.02,526.57,516.38,564.37,849.9,487.0,681.0,614.0,Downtrend,Strong,24.35,Triple Bottom,90,11-04-2025,11-07-2025,P1:11-04-2025@499.8 ; P2:30-05-2025@500.0 ; P3:11-07-2025@511.6,Broadening Formation(68) | Double Top(66) | Rounding Top(59),Triple Bottom(90) | Broadening Formation(68) | Double Top(66) | Rounding Top(59),4185461,Software & IT Services
2025-08-26,A2ZINFRA,18.92,Stage 1/3 (Neutral),51.06,17.59,289015,,1.43,False,0.55,547.0,1.72,True,Equilibrium,43.78,29.4,False,Increasing,0.2237,False,False,False,13.39,18.6,False,26.62,12.68,19.3,18.0,19.65,19.66,20.02,17.77,18.53,26.8,12.35,185.0,127.0,Sideways,Weak,32.51,Broadening Formation,68,20-12-2024,25-07-2025,H1:03-01-2025@26.17 ; H2:25-07-2025@21.99 ; L1:20-12-2024@21.83 ; L2:09-05-2025@12.68,,Broadening Formation(68),10318340,Construction & Engineering
2025-08-26,MAXIND,216.49,Stage 1/3 (Neutral),53.37,198.6,25260,50.66,0.33,False,0.55,547.0,-1.6,False,Near Discount,58.96,32.49,False,Decreasing,0.0952,False,True,True,42.69,220.0,False,329.6,171.0,220.0,213.32,250.3,210.81,201.21,196.24,219.13,320.69,169.0,572.0,705.0,Uptrend,Strong,38.2,Pennant Pattern,73,17-12-2024,28-01-2025,PoleS:17-12-2024@311.23 ; PoleE:08-01-2025@259.05 ; Consol:28-01-2025@243.05,Rising Wedge(65),Pennant Pattern(73) | Rising Wedge(65),2175308,Healthcare Providers & Services
2025-08-26,SOUTHWEST,135.62,Stage 2 (Uptrend),50.05,130.04,40010,,1.4,False,0.54,549.0,0.76,True,Equilibrium,44.91,19.75,False,Increasing,0.1548,False,False,False,13.66,134.6,False,163.68,99.78,138.9,133.0,131.73,137.67,143.85,137.25,132.99,169.0,99.06,496.0,132.0,Sideways,Weak,38.3,Inverse Head and Shoulders,88,20-12-2024,20-06-2025,LS:20-12-2024@148.27 ; H:14-03-2025@103.26 ; RS:20-06-2025@144.73,Rounding Top(79) | Broadening Formation(68),Inverse Head and Shoulders(88) | Rounding Top(79) | Broadening Formation(68),6008761,Oil & Gas Related Equipment and Services
2025-06-26,UMANGDAIRY,85.73,Stage 4 (Downtrend),50.77,86.82,62942,61.53,1.02,False,0.54,549.0,-5.06,False,Near Discount,49.73,48.17,False,Decreasing,0.2109,False,True,False,23.76,90.3,False,160.44,67.6,92.45,83.36,114.02,86.68,81.98,80.6,89.15,165.4,67.03,409.0,223.0,Sideways,Moderate,52.83,Cup and Handle,87,13-03-2025,26-06-2025,RimL:13-03-2025@84.29 ; Btm:28-03-2025@71.34 ; RimR:21-05-2025@84.36 ; Hdl:26-06-2025@85.73,Rounding Bottom(79) | Symmetrical Triangle(74) | Diamond Top(60),Cup and Handle(87) | Rounding Bottom(79) | Symmetrical Triangle(74) | Diamond Top(60),11767920,NO DATA
2025-08-26,BALAJITELE,93.04,Stage 2 (Uptrend),59.19,78.16,57642,,0.97,False,0.54,549.0,2.44,True,Near Premium,50.21,8.78,False,Increasing,0.1364,False,True,False,13.89,90.82,False,100.19,51.1,94.98,90.05,75.64,93.17,92.55,85.36,76.29,102.0,49.02,427.0,243.0,Sideways,Weak,39.9,Long-term Cup and Handle,83,16-12-2024,19-06-2025,RimL:16-12-2024@94.18 ; Btm:13-03-2025@51.1 ; RimR:11-06-2025@95.75 ; Hdl:19-06-2025@85.74,,Long-term Cup and Handle(83),21663262,Media & Publishing
2025-08-26,VETO,112.6,Stage 4 (Downtrend),44.88,114.35,46639,61.71,0.58,False,0.53,552.0,-0.35,False,Near Discount,33.06,42.55,False,Increasing,0.2388,False,False,False,19.36,113.0,False,192.95,94.11,115.5,110.61,143.53,121.86,124.28,118.86,120.3,196.0,92.6,468.0,485.0,Sideways,Moderate,43.74,Broadening Formation,68,25-04-2025,15-08-2025,H1:25-04-2025@112.32 ; H2:01-08-2025@134.91 ; L1:09-05-2025@99.19 ; L2:15-08-2025@111.34,,Broadening Formation(68),20048384,"Machinery, Equipment & Components"
2025-08-26,BALAXI,45.66,Stage 4 (Downtrend),32.73,55.6,116180,31.04,0.44,False,0.53,552.0,-2.89,False,Near Discount,38.57,64.17,False,Decreasing,0.1007,False,False,False,16.57,47.02,False,136.29,43.67,47.19,45.5,89.98,47.34,48.59,52.67,62.31,127.45,42.56,309.0,623.0,Sideways,Moderate,52.31,Falling Wedge,85,07-03-2025,15-08-2025,UL1:07-03-2025@70.93 ; UL2:11-04-2025@67.76 ; UL3:13-06-2025@51.99 ; UL4:15-08-2025@47.71 ; LL1:28-03-2025@63.92 ; LL2:09-05-2025@52.27 ; LL3:30-05-2025@49.99 ; LL4:08-08-2025@43.67,Diamond Top(60) | Descending Channel(57),Falling Wedge(85) | Diamond Top(60) | Descending Channel(57),-6779617,Pharmaceuticals
2025-08-26,HLVLTD,11.56,Stage 4 (Downtrend),36.86,13.16,447891,63.29,0.81,False,0.52,554.0,-2.86,False,Discount,35.17,48.74,False,Decreasing,0.1879,False,False,False,20.88,11.9,False,27.7,11.43,11.98,11.05,19.56,12.4,12.93,13.08,14.72,22.55,10.86,144.0,320.0,Sideways,Moderate,41.13,Symmetrical Triangle,74,13-06-2025,25-07-2025,H1:13-06-2025@14.1 ; H2:18-07-2025@13.37 ; L1:20-06-2025@13.17 ; L2:25-07-2025@12.72,Rounding Top(59),Symmetrical Triangle(74) | Rounding Top(59),-3084924,Hotels & Entertainment Services
2025-08-26,DISHTV,5.13,Stage 4 (Downtrend),38.09,5.7,1014275,53.95,0.54,False,0.52,554.0,-0.77,False,Near Discount,43.04,67.82,False,Decreasing,0.1045,False,False,False,12.97,5.17,False,17.0,4.77,5.17,5.08,10.88,5.18,5.3,5.35,7.18,15.94,4.71,87.0,522.0,Sideways,Weak,21.59,Double Bottom,86,20-06-2025,15-08-2025,P1:20-06-2025@4.95 ; P2:15-08-2025@4.96,Symmetrical Triangle(74) | Rounding Top(59),Double Bottom(86) | Symmetrical Triangle(74) | Rounding Top(59),-267990971,Media & Publishing
2025-08-26,MUNJALSHOW,137.46,Stage 1/3 (Neutral),51.45,128.09,37511,44.72,0.54,False,0.52,554.0,-3.56,True,Near Discount,47.59,28.64,False,Decreasing,0.1824,False,False,False,19.24,142.54,False,186.51,106.82,142.59,136.05,146.66,137.78,140.34,132.34,133.94,192.63,104.2,506.0,522.0,Sideways,Moderate,38.3,Double Bottom,78,27-06-2025,08-08-2025,P1:27-06-2025@131.85 ; P2:08-08-2025@131.35,Flag Pattern (Bear Flag)(76) | Rounding Top(71),Double Bottom(78) | Flag Pattern (Bear Flag)(76) | Rounding Top(71),10491024,Automobiles & Auto Parts
2025-08-26,ITDC,532.7,Stage 4 (Downtrend),40.67,575.41,9579,53.96,0.68,False,0.51,557.0,-1.39,False,Near Discount,34.9,32.26,False,Decreasing,0.1198,False,False,False,23.58,540.2,False,900.15,474.95,542.3,530.0,687.55,558.2,583.14,586.96,593.4,786.4,467.05,694.0,403.0,Sideways,Moderate,26.51,Cup and Handle,87,10-06-2025,26-08-2025,RimL:10-06-2025@633.0 ; Btm:23-06-2025@579.25 ; RimR:10-07-2025@608.95 ; Hdl:26-08-2025@532.7,Double Top(66),Cup and Handle(87) | Double Top(66),14400442,Hotels & Entertainment Services
2025-08-26,KOTHARIPET,164.05,Stage 1/3 (Neutral),47.33,163.65,31277,58.95,0.55,False,0.51,557.0,-3.8,False,Near Discount,46.35,38.65,False,Decreasing,0.1212,False,False,True,22.6,170.53,False,257.97,123.45,170.53,162.17,190.71,162.96,171.83,168.19,172.66,267.42,132.31,533.0,511.0,Sideways,Moderate,37.28,Rounding Top,59,13-05-2025,26-08-2025,Start:13-05-2025@159.67 ; Q1:06-06-2025@169.78 ; Mid:03-07-2025@177.96 ; Q3:30-07-2025@162.45 ; End:26-08-2025@164.05,,Rounding Top(59),11206810,Chemicals
