Symbol,Sector,holidays
ICICIGI-EQ,Insurance,
ICICIPRULI-EQ,Insurance,
IDBI-EQ,Banking Services,
IDEA-EQ,Telecommunications Services,
IDFCFIRSTB-EQ,Banking Services,
IEX-EQ,Investment Banking & Investment Services,
IFCI-EQ,Banking Services,
IGIL-EQ,Professional & Commercial Services,
IGL-EQ,Natural Gas Utilities,
IIFL-EQ,Banking Services,
IKS-EQ,Software & IT Services,
INDGN-EQ,Professional & Commercial Services,
INDHOTEL-EQ,Hotels & Entertainment Services,
INDIACEM-EQ,Construction Materials,
INDIAMART-EQ,Software & IT Services,
INDIANB-EQ,Banking Services,
INDIGO-EQ,Passenger Transportation Services,
INDUSINDBK-EQ,Banking Services,
INDUSTOWER-EQ,Telecommunications Services,
INFY-EQ,Software & IT Services,
INOXINDIA-EQ,"Machinery, Equipment & Components",
INOXWIND-EQ,Renewable Energy,
INTELLECT-EQ,Financial Technology (Fintech) & Infrastructure,
IOB-EQ,Banking Services,
IOC-EQ,Oil & Gas,
IPCALAB-EQ,Pharmaceuticals,
IRB-EQ,Construction & Engineering,
IRCON-EQ,Construction & Engineering,
IRCTC-EQ,Passenger Transportation Services,
IREDA-EQ,Banking Services,
IRFC-EQ,Banking Services,
ITC-EQ,Food & Tobacco,
ITI-EQ,Communications & Networking,
J&KBANK-EQ,Banking Services,
JBCHEPHARM-EQ,Pharmaceuticals,
JBMA-EQ,Automobiles & Auto Parts,
JINDALSAW-EQ,Metals & Mining,
JINDALSTEL-EQ,Metals & Mining,
JIOFIN-EQ,Banking Services,
JKCEMENT-EQ,Construction Materials,
JKTYRE-EQ,Automobiles & Auto Parts,
JMFINANCIL-EQ,Investment Banking & Investment Services,
JPPOWER-EQ,Electrical Utilities & IPPs,
JSL-EQ,Metals & Mining,
JSWENERGY-EQ,Electrical Utilities & IPPs,
JSWHL-EQ,Investment Banking & Investment Services,
JSWINFRA-EQ,Transport Infrastructure,
JSWSTEEL-EQ,Metals & Mining,
JUBLFOOD-EQ,Hotels & Entertainment Services,
JUBLINGREA-EQ,Chemicals,
JUBLPHARMA-EQ,Pharmaceuticals,
JUSTDIAL-EQ,Software & IT Services,
JWL-EQ,"Machinery, Equipment & Components",
JYOTHYLAB-EQ,Personal & Household Products & Services,
JYOTICNC-EQ,"Machinery, Equipment & Components",
KAJARIACER-EQ,Homebuilding & Construction Supplies,
KALYANKJIL-EQ,Specialty Retailers,
KANSAINER-EQ,Chemicals,
KARURVYSYA-EQ,Banking Services,
KAYNES-EQ,Electronic Equipment & Parts,
KEC-EQ,Construction & Engineering,
KEI-EQ,"Machinery, Equipment & Components",
KFINTECH-EQ,Financial Technology (Fintech) & Infrastructure,
KIMS-EQ,Healthcare Providers & Services,
KIRLOSBROS-EQ,"Machinery, Equipment & Components",
KIRLOSENG-EQ,"Machinery, Equipment & Components",
KNRCON-EQ,Construction & Engineering,
KOTAKBANK-EQ,Banking Services,
KPIL-EQ,Construction & Engineering,
KPITTECH-EQ,Software & IT Services,
KPRMILL-EQ,Textiles & Apparel,
LALPATHLAB-EQ,Healthcare Providers & Services,
LATENTVIEW-EQ,Software & IT Services,
LAURUSLABS-EQ,Pharmaceuticals,
LEMONTREE-EQ,Hotels & Entertainment Services,
LICHSGFIN-EQ,Banking Services,
LICI-EQ,Insurance,
LINDEINDIA-EQ,Chemicals,
LLOYDSME-EQ,Metals & Mining,
LODHA-EQ,Real Estate Operations,
LT-EQ,Construction & Engineering,
LTF-EQ,Banking Services,
LTFOODS-EQ,Food & Tobacco,
LTIM-EQ,Software & IT Services,
LTTS-EQ,Construction & Engineering,
LUPIN-EQ,Pharmaceuticals,
M&M-EQ,Automobiles & Auto Parts,
M&MFIN-EQ,Banking Services,
MAHABANK-EQ,Banking Services,
MAHSEAMLES-EQ,Metals & Mining,
MANAPPURAM-EQ,Banking Services,
MANKIND-EQ,Pharmaceuticals,
MANYAVAR-EQ,Specialty Retailers,
MAPMYINDIA-EQ,Software & IT Services,
MARICO-EQ,Food & Tobacco,
MARUTI-EQ,Automobiles & Auto Parts,
MASTEK-EQ,Software & IT Services,
MAXHEALTH-EQ,Healthcare Providers & Services,
MAZDOCK-EQ,Aerospace & Defense,
MCX-EQ,Investment Banking & Investment Services,
MEDANTA-EQ,Healthcare Providers & Services,
METROPOLIS-EQ,Healthcare Providers & Services,
MFSL-EQ,Insurance,
MGL-EQ,Natural Gas Utilities,
MINDACORP-EQ,Automobiles & Auto Parts,
MMTC-EQ,Metals & Mining,
MOTHERSON-EQ,Automobiles & Auto Parts,
MOTILALOFS-EQ,Investment Banking & Investment Services,
MPHASIS-EQ,Software & IT Services,
MRF-EQ,Automobiles & Auto Parts,
MRPL-EQ,Oil & Gas,
MSUMI-EQ,Automobiles & Auto Parts,
MUTHOOTFIN-EQ,Banking Services,
NAM-EQ,Metals & Mining,
NATCOPHARM-EQ,Pharmaceuticals,
NATIONALUM-EQ,Metals & Mining,
NAUKRI-EQ,Software & IT Services,
NAVA-EQ,Consumer Goods Conglomerates,
NAVINFLUOR-EQ,Chemicals,
NBCC-EQ,Construction & Engineering,
NCC-EQ,Construction & Engineering,
NESTLEIND-EQ,Food & Tobacco,
NETWEB-EQ,Software & IT Services,
NETWORK18-EQ,Media & Publishing,
NEULANDLAB-EQ,Pharmaceuticals,
NEWGEN-EQ,Software & IT Services,
NH-EQ,Healthcare Providers & Services,
NHPC-EQ,Electrical Utilities & IPPs,
NIACL-EQ,Insurance,
NIVABUPA-EQ,Insurance,
NLCINDIA-EQ,Electrical Utilities & IPPs,
NMDC-EQ,Metals & Mining,
NSLNISP-EQ,Metals & Mining,
NTPC-EQ,Electrical Utilities & IPPs,
NTPCGREEN-EQ,Electrical Utilities & IPPs,
NUVAMA-EQ,Investment Banking & Investment Services,
NYKAA-EQ,Diversified Retail,
OBEROIRLTY-EQ,Real Estate Operations,
OFSS-EQ,Software & IT Services,
OIL-EQ,Oil & Gas,
OLAELEC-EQ,Automobiles & Auto Parts,
OLECTRA-EQ,Automobiles & Auto Parts,
ONGC-EQ,Oil & Gas,
PAGEIND-EQ,Textiles & Apparel,
PATANJALI-EQ,Food & Tobacco,
PAYTM-EQ,Professional & Commercial Services,
PCBL-EQ,Chemicals,
PEL-EQ,Banking Services,
PERSISTENT-EQ,Software & IT Services,
PETRONET-EQ,Oil & Gas Related Equipment and Services,
PFC-EQ,Banking Services,
PFIZER-EQ,Pharmaceuticals,
PGEL-EQ,Electronic Equipment & Parts,
PHOENIXLTD-EQ,Real Estate Operations,
PIDILITIND-EQ,Chemicals,
PIIND-EQ,Chemicals,
PNB-EQ,Banking Services,
PNBHOUSING-EQ,Banking Services,
PNCINFRA-EQ,Construction & Engineering,
POLICYBZR-EQ,Financial Technology (Fintech) & Infrastructure,
POLYCAB-EQ,"Machinery, Equipment & Components",
POLYMED-EQ,Healthcare Equipment & Supplies,
POONAWALLA-EQ,Banking Services,
POWERGRID-EQ,Electrical Utilities & IPPs,
POWERINDIA-EQ,"Machinery, Equipment & Components",
PPLPHARMA-EQ,Pharmaceuticals,
PRAJIND-EQ,Construction & Engineering,
PREMIERENE-EQ,Renewable Energy,
PRESTIGE-EQ,Real Estate Operations,
PTCIL-EQ,Metals & Mining,
PVRINOX-EQ,Hotels & Entertainment Services,
RADICO-EQ,Beverages,
RAILTEL-EQ,Telecommunications Services,
RAINBOW-EQ,Healthcare Providers & Services,
RAMCOCEM-EQ,Construction Materials,
RAYMOND-EQ,Textiles & Apparel,
RAYMONDLSL-EQ,Specialty Retailers,
RBLBANK-EQ,Banking Services,
RCF-EQ,Chemicals,
RECLTD-EQ,Banking Services,
REDINGTON-EQ,"Computers, Phones & Household Electronics",
RELIANCE-EQ,Oil & Gas,
RENUKA-EQ,Food & Tobacco,
RHIM-EQ,Construction Materials,
RITES-EQ,Professional & Commercial Services,
RKFORGE-EQ,Metals & Mining,
ROUTE-EQ,Software & IT Services,
RPOWER-EQ,Electrical Utilities & IPPs,
RRKABEL-EQ,"Machinery, Equipment & Components",
RTNINDIA-EQ,Software & IT Services,
RVNL-EQ,Construction & Engineering,
SAGILITY-EQ,Healthcare Providers & Services,
SAIL-EQ,Metals & Mining,
SAILIFE-EQ,Pharmaceuticals,
SAMMAANCAP-EQ,Banking Services,
SAPPHIRE-EQ,Hotels & Entertainment Services,
SARDAEN-EQ,Metals & Mining,
SAREGAMA-EQ,Media & Publishing,
SBFC-EQ,Banking Services,
SBICARD-EQ,Banking Services,
SBILIFE-EQ,Insurance,
SBIN-EQ,Banking Services,
SCHAEFFLER-EQ,"Machinery, Equipment & Components",
SCHNEIDER-EQ,"Machinery, Equipment & Components",
SCI-EQ,Freight & Logistics Services,
SHREECEM-EQ,Construction Materials,
SHRIRAMFIN-EQ,Banking Services,
SHYAMMETL-EQ,Metals & Mining,
SIEMENS-EQ,"Machinery, Equipment & Components",
SIGNATURE-EQ,Real Estate Operations,
SJVN-EQ,Electrical Utilities & IPPs,
SKFINDIA-EQ,"Machinery, Equipment & Components",
SOBHA-EQ,Real Estate Operations,
SOLARINDS-EQ,Chemicals,
SONACOMS-EQ,Automobiles & Auto Parts,
SONATSOFTW-EQ,Software & IT Services,
SRF-EQ,Chemicals,
STARHEALTH-EQ,Insurance,
SUMICHEM-EQ,Chemicals,
SUNDARMFIN-EQ,Banking Services,
SUNDRMFAST-EQ,Automobiles & Auto Parts,
SUNPHARMA-EQ,Pharmaceuticals,
SUNTV-EQ,Media & Publishing,
SUPREMEIND-EQ,Chemicals,
COHANCE-EQ,Pharmaceuticals,
SUZLON-EQ,Renewable Energy,
SWANENERGY-EQ,Textiles & Apparel,
SWIGGY-EQ,Software & IT Services,
SWSOLAR-EQ,Construction & Engineering,
SYNGENE-EQ,Biotechnology & Medical Research,
SYRMA-EQ,Electronic Equipment & Parts,
TANLA-EQ,Software & IT Services,
TARIL-EQ,"Machinery, Equipment & Components",
TATACHEM-EQ,Chemicals,
TATACOMM-EQ,Telecommunications Services,
TATACONSUM-EQ,Food & Tobacco,
TATAELXSI-EQ,Software & IT Services,
TATAINVEST-EQ,Investment Banking & Investment Services,
